,volume_sales,title_names,author_names,publisher
16,"<td class=""left"" id=""table-cell-10943-16-3"" style=""color: #000000""> 2,062,145 </td>","<td class=""left"" id=""table-cell-10943-16-1"" style=""color: #000000""> Deception Point </td>","<td class=""left"" id=""table-cell-10943-16-2"" style=""color: #000000""> Brown, Dan </td>","<td class=""left"" id=""table-cell-10943-16-4"" style=""color: #000000""> Transworld </td>"
17,"<td class=""left"" id=""table-cell-10943-17-3"" style=""color: #000000""> 2,052,876 </td>","<td class=""left"" id=""table-cell-10943-17-1"" style=""color: #000000""> Eclipse </td>","<td class=""left"" id=""table-cell-10943-17-2"" style=""color: #000000""> Meyer, Stephenie </td>","<td class=""left"" id=""table-cell-10943-17-4"" style=""color: #000000""> Little, Brown Book </td>"
18,"<td class=""left"" id=""table-cell-10943-18-3"" style=""color: #000000""> 2,005,598 </td>","<td class=""left"" id=""table-cell-10943-18-1"" style=""color: #000000""> Lovely Bones,The </td>","<td class=""left"" id=""table-cell-10943-18-2"" style=""color: #000000""> Sebold, Alice </td>","<td class=""left"" id=""table-cell-10943-18-4"" style=""color: #000000""> Pan Macmillan </td>"
19,"<td class=""left"" id=""table-cell-10943-19-3"" style=""color: #000000""> 1,979,552 </td>","<td class=""left"" id=""table-cell-10943-19-1"" style=""color: #000000""> Curious Incident of the Dog in the Night-time,The </td>","<td class=""left"" id=""table-cell-10943-19-2"" style=""color: #000000""> Haddon, Mark </td>","<td class=""left"" id=""table-cell-10943-19-4"" style=""color: #000000""> Random House </td>"
20,"<td class=""left"" id=""table-cell-10943-20-3"" style=""color: #000000""> 1,928,900 </td>","<td class=""left"" id=""table-cell-10943-20-1"" style=""color: #000000""> Digital Fortress </td>","<td class=""left"" id=""table-cell-10943-20-2"" style=""color: #000000""> Brown, Dan </td>","<td class=""left"" id=""table-cell-10943-20-4"" style=""color: #000000""> Transworld </td>"
21,"<td class=""left"" id=""table-cell-10943-21-3"" style=""color: #000000""> 1,852,919 </td>","<td class=""left"" id=""table-cell-10943-21-1"" style=""color: #000000""> Short History of Nearly Everything,A </td>","<td class=""left"" id=""table-cell-10943-21-2"" style=""color: #000000""> Bryson, Bill </td>","<td class=""left"" id=""table-cell-10943-21-4"" style=""color: #000000""> Transworld </td>"
22,"<td class=""left"" id=""table-cell-10943-22-3"" style=""color: #000000""> 1,814,784 </td>","<td class=""left"" id=""table-cell-10943-22-1"" style=""color: #000000""> Girl Who Played with Fire,The:Millennium Trilogy </td>","<td class=""left"" id=""table-cell-10943-22-2"" style=""color: #000000""> Larsson, Stieg </td>","<td class=""left"" id=""table-cell-10943-22-4"" style=""color: #000000""> Quercus </td>"
23,"<td class=""left"" id=""table-cell-10943-23-3"" style=""color: #000000""> 1,787,118 </td>","<td class=""left"" id=""table-cell-10943-23-1"" style=""color: #000000""> Breaking Dawn </td>","<td class=""left"" id=""table-cell-10943-23-2"" style=""color: #000000""> Meyer, Stephenie </td>","<td class=""left"" id=""table-cell-10943-23-4"" style=""color: #000000""> Little, Brown Book </td>"
24,"<td class=""left"" id=""table-cell-10943-24-3"" style=""color: #000000""> 1,783,535 </td>","<td class=""left"" id=""table-cell-10943-24-1"" style=""color: #000000""> Very Hungry Caterpillar,The:The Very Hungry Caterpillar </td>","<td class=""left"" id=""table-cell-10943-24-2"" style=""color: #000000""> Carle, Eric </td>","<td class=""left"" id=""table-cell-10943-24-4"" style=""color: #000000""> Penguin </td>"
25,"<td class=""left"" id=""table-cell-10943-25-3"" style=""color: #000000""> 1,781,269 </td>","<td class=""left"" id=""table-cell-10943-25-1"" style=""color: #000000""> Gruffalo,The </td>","<td class=""left"" id=""table-cell-10943-25-2"" style=""color: #000000""> Donaldson, Julia </td>","<td class=""left"" id=""table-cell-10943-25-4"" style=""color: #000000""> Pan Macmillan </td>"
26,"<td class=""left"" id=""table-cell-10943-26-3"" style=""color: #000000""> 1,743,266 </td>","<td class=""left"" id=""table-cell-10943-26-1"" style=""color: #000000""> Jamie's 30-Minute Meals </td>","<td class=""left"" id=""table-cell-10943-26-2"" style=""color: #000000""> Oliver, Jamie </td>","<td class=""left"" id=""table-cell-10943-26-4"" style=""color: #000000""> Penguin </td>"
27,"<td class=""left"" id=""table-cell-10943-27-3"" style=""color: #000000""> 1,629,119 </td>","<td class=""left"" id=""table-cell-10943-27-1"" style=""color: #000000""> Kite Runner,The </td>","<td class=""left"" id=""table-cell-10943-27-2"" style=""color: #000000""> Hosseini, Khaled </td>","<td class=""left"" id=""table-cell-10943-27-4"" style=""color: #000000""> Bloomsbury </td>"
28,"<td class=""left"" id=""table-cell-10943-28-3"" style=""color: #000000""> 1,616,068 </td>","<td class=""left"" id=""table-cell-10943-28-1"" style=""color: #000000""> One Day </td>","<td class=""left"" id=""table-cell-10943-28-2"" style=""color: #000000""> Nicholls, David </td>","<td class=""left"" id=""table-cell-10943-28-4"" style=""color: #000000""> Hodder &amp; Stoughton </td>"
29,"<td class=""left"" id=""table-cell-10943-29-3"" style=""color: #000000""> 1,583,992 </td>","<td class=""left"" id=""table-cell-10943-29-1"" style=""color: #000000""> Thousand Splendid Suns,A </td>","<td class=""left"" id=""table-cell-10943-29-2"" style=""color: #000000""> Hosseini, Khaled </td>","<td class=""left"" id=""table-cell-10943-29-4"" style=""color: #000000""> Bloomsbury </td>"
30,"<td class=""left"" id=""table-cell-10943-30-3"" style=""color: #000000""> 1,555,135 </td>","<td class=""left"" id=""table-cell-10943-30-1"" style=""color: #000000""> Girl Who Kicked the Hornets' Nest,The:Millennium Trilogy </td>","<td class=""left"" id=""table-cell-10943-30-2"" style=""color: #000000""> Larsson, Stieg </td>","<td class=""left"" id=""table-cell-10943-30-4"" style=""color: #000000""> Quercus </td>"
31,"<td class=""left"" id=""table-cell-10943-31-3"" style=""color: #000000""> 1,546,886 </td>","<td class=""left"" id=""table-cell-10943-31-1"" style=""color: #000000""> Time Traveler's Wife,The </td>","<td class=""left"" id=""table-cell-10943-31-2"" style=""color: #000000""> Niffenegger, Audrey </td>","<td class=""left"" id=""table-cell-10943-31-4"" style=""color: #000000""> Random House </td>"
32,"<td class=""left"" id=""table-cell-10943-32-3"" style=""color: #000000""> 1,539,428 </td>","<td class=""left"" id=""table-cell-10943-32-1"" style=""color: #000000""> Atonement </td>","<td class=""left"" id=""table-cell-10943-32-2"" style=""color: #000000""> McEwan, Ian </td>","<td class=""left"" id=""table-cell-10943-32-4"" style=""color: #000000""> Random House </td>"
33,"<td class=""left"" id=""table-cell-10943-33-3"" style=""color: #000000""> 1,508,205 </td>","<td class=""left"" id=""table-cell-10943-33-1"" style=""color: #000000""> Bridget Jones's Diary:A Novel </td>","<td class=""left"" id=""table-cell-10943-33-2"" style=""color: #000000""> Fielding, Helen </td>","<td class=""left"" id=""table-cell-10943-33-4"" style=""color: #000000""> Pan Macmillan </td>"
34,"<td class=""left"" id=""table-cell-10943-34-3"" style=""color: #000000""> 1,489,403 </td>","<td class=""left"" id=""table-cell-10943-34-1"" style=""color: #000000""> World According to Clarkson,The </td>","<td class=""left"" id=""table-cell-10943-34-2"" style=""color: #000000""> Clarkson, Jeremy </td>","<td class=""left"" id=""table-cell-10943-34-4"" style=""color: #000000""> Penguin </td>"
35,"<td class=""left"" id=""table-cell-10943-35-3"" style=""color: #000000""> 1,352,318 </td>","<td class=""left"" id=""table-cell-10943-35-1"" style=""color: #000000""> Captain Corelli's Mandolin </td>","<td class=""left"" id=""table-cell-10943-35-2"" style=""color: #000000""> Bernieres, Louis de </td>","<td class=""left"" id=""table-cell-10943-35-4"" style=""color: #000000""> Random House </td>"
36,"<td class=""left"" id=""table-cell-10943-36-3"" style=""color: #000000""> 1,310,207 </td>","<td class=""left"" id=""table-cell-10943-36-1"" style=""color: #000000""> Sound of Laughter,The </td>","<td class=""left"" id=""table-cell-10943-36-2"" style=""color: #000000""> Kay, Peter </td>","<td class=""left"" id=""table-cell-10943-36-4"" style=""color: #000000""> Random House </td>"
